,Link,Ingredients,Instructions,Image
chocolate mousse recipe how to make chocolate mousse,https://www.vegrecipesofindia.com/eggless-chocolate-mousse-recipe/,"['cups milk chocolate or dark chocolate  chopped', 'tablespoon golden syrup', 'tablespoon rum or any fruit juice or water', 'to  cup fresh cream or  grams fresh cream', 'any garnish']","['Melt the chocolate golden syrup and rum together in a double boiler till you get a smooth mixture Dont overcook Cool slightly', 'Whilst the mousse mixture is cooling begin to whip the cream till you get soft peaks', 'Fold the cream gently into the chocolate mixture', 'Once you get a uniform even mousse mixture pour the mousse in bowl or glasses', 'Refrigerate for  hours or till the mousse is set', 'Decorate the eggless chocolate mousse with your favorite garnishings']",https://www.vegrecipesofindia.com/wp-content/uploads/2011/11/easy-eggless-chocolate-mousse.jpg
hotel style onion rava dosa,https://www.vegrecipesofindia.com/onion-rava-dosa-recipe-dosa-recipes/,"['cup unroasted rava sooji or semolina', 'cup rice flour', 'tablespoon all purpose flour or whole wheat flour', 'green chili  finely chopped', 'medium onion  finely chopped or about  cup of finely chopped onion', 'to  curry leaves  chopped', 'inch ginger  finely chopped optional', 'water or buttermilk as required  i added  cups water check notes on how to make the buttermilk', 'to  black peppercorns  crushed', 'tablespoon chopped coriander leaves cilantro leaves  optional', 'salt as required', 'teaspoon oil', 'teaspoon mustard seeds', 'teaspoon cumin seeds', 'oil or ghee as required for roasting the dosa']","['Take the rava rice flour all purpose flour green chilies ginger onion coriander leaves crushed black pepper in a mixing bowl', 'Heat  tsp oil in a small frying pan Crackle the mustard seeds first The mustard seeds should pop before you add the cumin seeds', 'Then add the cumin and curry leaves Saute for a few seconds till the cumin browns', 'Add this tempering mixture along with the oil to the other ingredients in the bowl Add salt', 'Pour water or buttermilk and make a thin batter without any lumps', 'The batter should not be thick or of medium consistency If the dosa batter becomes too thin then add some rice flour to slightly thicken it Keep aside for  to  minutes', 'Heat the tava or nonstick pan Smear a bit oil with a slice of onion or a small piece of fabric or paper napkin', 'With a ladle pour the dosa batter from the edges towards the center', 'Sprinkle  or  or  tsp of oil from the top', 'Let the base becomes golden and crisp Flip and cook the other side When both the sides are cooked remove the dosa from the pan', 'Prepare all the dosas this way', 'Serve the hotel style onion rava dosa hot with coconut chutney or vegetable sambar This dosa has to be served immediately']",https://www.vegrecipesofindia.com/wp-content/uploads/2014/04/onion-rava-dosa.jpg
curd rice,https://www.vegrecipesofindia.com/curd-rice-how-to-make-curd-rice-thayir-sadam-bagala-bath/,"['cup regular rice or  grams rice', 'cups water for pressure cooking', 'cup Curd or  grams curd yogurt', 'cup milk or  ml milk', 'green chilli chopped', 'teaspoon finely chopped ginger', 'teaspoon chopped curry leaves or  to  curry leaves chopped', 'tablespoon chopped coriander leaves cilantro leaves', 'tablespoon sesame oil', 'teaspoon mustard seeds', 'teaspoon urad dal husked and split black gram dal  optional', 'to  curry leaves  chopped or kept whole', 'teaspoon asafoetida hing', 'to  tablespoons pomegranate arils  optional sweet grapes can also be used instead', 'tablespoon coriander leaves']","['Rinse  cup rice a couple of times in water Then add the rice in a litre pressure cooker', 'Add water Stir very well', 'Pressure cook rice for  to  whistles or  to  minutes till the rice is cooked and softened very well', 'When the pressure settles down on its own remove the lid and check the doneness of rice The rice has to be more softer than what we cook on a daily basis', 'With a spoon or masher mash the rice Close the cooker and allow the rice to become lukewarm or come at room temperature', 'When the rice becomes lukewarm or comes at room temperature add fresh curd and milk', 'Mix again very well and break lumps if any You can either use the spoon or masher while breaking the lumps', 'Add finely chopped ginger finely chopped curry leaves chopped green chilies and chopped coriander leaves', 'Instead of adding ginger and curry leaves to the rice you can also fry them in the tempering', 'Add salt Mix very well Keep aside', 'Heat a small pan or tadka pan and add sesame oil in it You can use peanut oil or sunflower oil instead of sesame oil', 'When the oil becomes hot lower the flame Add mustard seeds', 'Let the mustard seeds crackle', 'Then add urad dal Urad dal is optional and can be skipped', 'Fry on a low flame stirring often till the urad dal becomes golden', 'Lastly add the add curry leaves and asafoetida Mix very well', 'Switch off the flame and immediately pour the tempering in the curd rice mixture Again mix very well', 'Serve south indian curd rice topped with a few coriander leaves or pomegranate arils or grapes You can skip the fruits too and just serve curd rice plain You can also serve with fried sun dried green chillies or south indian mango pickle']",https://www.vegrecipesofindia.com/wp-content/uploads/2016/07/curd-rice-5.jpg
Pizza Recipe  Veg Pizza,https://www.vegrecipesofindia.com/veg-pizza-recipe-vegetable-pizza/,"['to  cups allpurpose flour or bread flour unbleached  grams', 'teaspoon sugar', 'cup warm water or add as required', 'teaspoons instant yeast  to  grams or  teaspoons dry active yeast', 'tablespoons olive oil', 'teaspoon salt or add as required', 'to  teaspoons olive oil for brushing dough', 'semolina  or cornmeal makki ka atta or allpurpose flour for sprinkling on pan', 'to   medium tomatoes   grams', 'teaspoons minced garlic or  to  small to medium garlic cloves  grams peeled garlic', 'cup olive oil', 'cup chopped basil  or  to  teaspoons dried basil', 'teaspoons dried oregano or  tablespoons fresh oregano', 'freshly crushed black pepper or ground black pepper as required', 'salt as required', 'onion sliced or cut in cubes', 'capsicum bell pepper sliced or cubed', 'tomato chopped or sliced  optional', 'to  pitted green olives sliced optional', 'to  pitted black olives sliced optional', 'cup steamed sweet corn kernels or canned corn kernels', 'cup sliced baby corn', 'to   cup sauted kale', 'cup  sauted spinach', 'to    cup cauliflower fennel brussel sprouts cabbage steamed roasted or sauted', 'to   cup sauted button mushrooms', 'to    cup broccoli  or french beans blanched or sauted', 'Italian seasoning  as required', 'mozzarella cheese or pizza cheese as required', 'parmesan cheese  vegetarian as required', 'red chili flakes  as required']","['In a large mixing bowl take the instant yeast sugar and lukewarm water', 'Stir and let the mixture sit at room temperature for  to  mins till it becomes frothy', 'Add one cup flour salt olive oil to the frothy yeast mixture', 'Mix well Add another cup of flour and mix again The mixture becomes sticky', 'Add the last cup of flour and continue to stir', 'Knead the dough into a smooth springy ballApply some olive oil all over the dough', 'Cover loosely and keep in a large bowl at room temperature for  minutes to  hour', 'The dough will double up and nicely leaven', 'Crush or make a smooth puree of the tomatoes in a blender', 'Heat olive oil Fry the minced garlic for some secondsAdd the tomato puree Mix and let cook uncovered for  minutes', 'Season with salt and mix Cover and simmer the tomato sauce on low heat for  minutes stirring occasionally until the tomatoes have softened', 'If the sauce looks too thick you can add  cup water Then cover and continue to cook', 'Add the herbs and crushed black pepperMix well', 'Preheat your oven at  degrees Celsius  degrees Fahrenheit for  minutes', 'Cut the dough in  or  equal parts Flatten the dough to a diskOn a lightly floured surface roll the dough having  to  inch thickness', 'Place the dough onto a greased and dusted pan', 'Brush some olive oil on the pizza baseSpread the tomato sauce on the pizza', 'Top shredded mozzarella cheese and veggies', 'Sprinkle some grated parmesan cheese', 'Keep the tray near or close to the bottom heating element of your oven', 'Bake for  to  minutes at  degrees Celsius  degrees Fahrenheit until the base becomes golden brown and the cheese on top melts', 'Wait for a minute or two and serve veggie pizza while still hot']",https://www.vegrecipesofindia.com/wp-content/uploads/2020/11/pizza-recipe.jpg
easy mango cake whole wheat,https://www.vegrecipesofindia.com/eggless-mango-cake-recipe/,"['cups whole wheat flour levelled or  grams whole wheat flour', 'teaspoon baking powder', 'teaspoon baking soda', 'grams unsalted butter or  cup chopped chilled butter', 'cup sweetened condensed milk or  grams or half a can', 'large alphonso mango or  grams or  cup tightly packed chopped mangoes or  cup mango puree', 'to  tablespoon sugar or add as required', 'teaspoon vanilla extract or essence substitute is  teaspoon cardamom powder or  teaspoon cinnamon powder in place of vanilla extract', 'cup mango puree blend  cup tightly packed mangoes in a blender for the puree', 'cup whipping cream or  to  low fat cream', 'to  tablespoon honey or icing sugar  add as per taste']","['Seive  cups whole wheat flouratta  tsp baking powder and  tsp baking soda in a bowl or plate Keep the seived dry ingredients aside', 'Grease a loaf pan measuring  x  x  inches with butter or oil and keep aside You can also use a round pan of  or  inches diameter', 'Peel and chop  large alphonso mangoes and add the mango cubes in a blender In cup measure it should be  cup tightly packed chopped mangoes If using store bought mango pulp or puree then use  cup mango pulp You could also use any juicy mangoes instead of alphonso mangoes', 'Also add  to  tbsp sugar The addition of sugar depends on the sweetness of the mangoes The mangoes I used very very sweet so I added  tbsp of sugar If the mangoes are not sweet enough you can add  or  tbsp more sugar', 'Blend to a smooth mango puree Keep the puree aside', 'Also preheat your oven at  degrees celsius degrees fahrenheit  minutes before you start baking For baking in the convection mode of the microwave oven use  degrees celsius degrees fahrenheit as the preheat temperature', 'Take  grams unsalted butter or  cup chopped butter in a pan', 'Keep the pan on a stove top and on a low heat melt the butter', 'Just melt the butter No need to heat the butter Stir so that the butter melts quickly', 'Keep the pan down once the butter has melted Add  cup sweetened condensed milk Condensed milk added is about  a tin or can of condensed milk measuring  grams', 'Begin to stir very well with a wired or balloon whisk', 'Whisk very well to make a smooth homogeneous mixture', 'Now add the mango puree and  tsp vanilla extract You can also add  tsp cardamom powder or  tsp cinnamon powder or  tsp mango essence or extract instead of vanilla extract', 'Stir again very well to get a smooth even mixture Add the flour', 'With light hands gently fold the mixture with a spatula Avoid folding too much', 'The cake batter should have volume and should not fall flat or become doughy like chapati atta Depending on the quality of flour you might get a thick batter like I have got This much thickness is fine', 'But if the mango cake batter looks very thick then do add some tablespoons of milk Also mango puree made at home is usually thick If you use store bought mango puree then the batter will be slightly on the thinner side', 'With the spatula add the batter to the loaf pan', 'Shake the pan to even the batter from the sides Also with the spatula even the batter from the top', 'Place the loaf pan in the preheated oven at  degrees celsius degrees fahrenheit Bake the cake for  to  minutes', 'If top starts to get browned then cover with foil or butter paper and continue to bake the mango cake Depending on the temperature conditions in your oven it make take less or more time', 'The final check is a golden crust and a tooth pick or wooden skewer coming out clean', 'For baking in the convection mode of a microwave oven use the temperature of  degrees celsius degrees fahrenheit Again the baking time will vary in the convection mode of your microwave oven', 'When the cake becomes warm remove from the pan and allow it cool on a wire rack Slice the mango cake and serve when cooled You can also frost the cake with your favorite icing if you want', 'Take  cup whipping cream or  to  low fat cream in a mixing bowl along with  to  tbsp honey or icing sugar Begin to whip the cream on a high speed', 'Whip till soft peaks', 'Then add  cup mango puree On the lowest speed blend for some seconds till every thing is mixed well Keep in the fridge till the cake cools down', 'When the cake cools down completely slice carefully into equal halves Brush some sugar syrup  tsp sugar dissolved in  to  tsp water on the halved cake', 'Spread the mango mousse evenly Cover with the remaining half of the mango cake Brush some sugar syrup on top of the cake half Then again spread the top and sides with the remaining mango mousse frosting', 'For a neater look you can thinly slice the top part of the mango cake Brush lightly with the sugar syrup and then spread the icing', 'With a spatula even the mousse frosting from the top Cover the mango cake without touching the sides and edges with a large box or bowl and keep in the fridge till the mousse sets', 'Once done slice and then serve the eggless mango cake with mango mousse frosting']",https://www.vegrecipesofindia.com/wp-content/uploads/2015/05/eggless-mango-cake.jpg
Dal Makhani,https://www.vegrecipesofindia.com/dal-makhani-restaurant-style-recipe/,"['cup whole urad dal   grams whole black gram', 'cup rajma   grams kidney beans', 'cups water for pressure cooking   ml water', 'cup finely chopped onions    grams onion or  medium sized onion', 'teaspoon chopped green chilies or serrano peppers or  to  green chillies', 'teaspoons GingerGarlic Paste or  to  small to mediumsized garlic   inch ginger  crushed to a paste in mortarpestle', 'large tomatoes   grams tomatoes  pureed or  cup tomato puree', 'teaspoon cumin seeds', 'to  cloves', 'to  green cardamoms', 'black cardamom', 'inch cinnamon', 'small to medium tej patta Indian bay leaf', 'teaspoon red chili powder or cayenne pepper or smoked paprika', 'to  pinches grated nutmeg or ground nutmeg powder', 'cup water  or add as required', 'to  cup low fat cream  or half and half or  tablespoons heavy cream or', 'teaspoon crushed kasuri methi dry fenugreek leaves  optional', 'tablespoon butter  salted or unsalted', 'salt as required', 'small piece of charcoal', 'to  teaspoon oil  any neutral tasting oil', 'to   tablespoons chopped coriander leaves cilantro', 'tablespoon low fat cream  or half and half for garnish  optional', 'inch  ginger julienne  optional']","['Soak both the whole urad dal and rajma overnight in enough water for  to  hours or overnight Later drain them well', 'Rinse both the lentils a couple of times in water', 'Drain again and then add them in a  litre pressure cooker Add water and stir well', 'Pressure cook for  to  whistles on a high flame till both the urad dal and rajma have cooked thoroughly and softened If they are not cooked then add about  cup water again and pressure cook for  to  whistles more', 'The urad dal should melt in the mouth and should not give any bite or resistance when eaten You can also just mash the urad dal with a spoon or with your fingers to check the doneness The same rule applies for rajma too Keep the cooked beans aside', 'In a blender or mixer jar take chopped tomatoes and blend to a smooth puree Set aside', 'You can also add ready  cup tomato puree instead of blending the tomatoes No need to blanch the tomatoes while pureeing', 'In a pan now heat butter You can use salted butter or unsalted butter', 'Add the whole spices  cumin seeds cloves green cardamoms black cardamom  inch cinnamon  small to medium tej patta', 'Fry for some seconds till the spices sputter and become aromatic', 'Add finely chopped onions', 'Stir and saut the onions on a low or mediumlow heat often till they become light golden', 'Add the ginger garlic paste Stir again and saut for some seconds till the raw aroma of gingergarlic goes away', 'Add the chopped green chilies and saut for a minute', 'Add the prepared tomato puree and mix well', 'Add red chili powder and  to  pinches of grated nutmeg or nutmeg powder', 'Stir very well and saut this mixture on a low to medium flame till you see fat releasing from the sides', 'Then add the cooked urad dal and rajma beans along with the stock Also add  cup water or as required', 'Stir very well and simmer the dal makhani uncovered on a low flame', 'Keep on stirring often so that the lentils dont stuck to the bottom of the pan', 'Once it has begun to thicken add salt as required', 'Stir very well and continue to simmer on a low flame Keep on stirring when the lentils are simmered on low heat', 'When simmering you can add more water if the gravy looks thick or dry The longer you keep dal makhani to simmer the better it tastes', 'I kept it for about an overall  minutes on a low flame Do keep on stirring at intervals', 'When the gravy has thickened enough then add cream Dal makhani is not too thick or too thin It has a medium consistency', 'Mix the cream very well Then switch off the heat', 'Add crushed kasuri methi dried fenugreek leaves Mix again', 'Cover and set dal makhani aside if you are proceeding to the dhungar method Or else you can serve dal makhni straight away', 'Heat a small piece of charcoal on flame till it becomes red hot With the help of tongs keep on turning the charcoal piece so that it evenly burns', 'Keep the red hot charcoal in a small bowl', 'Pour  teaspoon oil on the hot charcoal', 'Immediately keep this bowl on top of the dal makhani', 'Cover for a minute and allow the charcoal to infuse its smoke in the dal makhni Remove the bowl Stir again', 'Serve punjabi dal makhani garnished with chopped coriander leaves cilantro and a few teaspoons of cream with naan roti paratha or steamed rice']",https://www.vegrecipesofindia.com/wp-content/uploads/2015/01/dal-makhani-recipe-restaurant-style.jpg
masala tea powder recipe  homemade indian chai masala powder recipe,https://www.vegrecipesofindia.com/masala-tea-powder-dry-masala-chai-powder/,"['to  pieces of dry ginger saunth or  cup dry ginger powder', 'whole nutmeg jaiphal', 'grams small cardamom green cardamoms or  tablespoons green cardamoms', 'to  long cinnamon sticks', 'grams cloves or about  to  tablespoons', 'tablespoons fennel seeds saunf', 'teaspoon whole black pepper optional', 'cup chopped lemon grass optional', 'cup dry rose petals optional', 'cup dry holy basil dry tulsi leaves optional']","['First grind the dry ginger', 'Now grind the nutmeg', 'Finally grind all the rest of the spices and herbs with the already ground ginger and nutmeg', 'Store in an airtight jar', 'Use the chai masala whenever you make an indian chai', 'Around  teaspoon chai masala is perfect for  cups of indian masala chai Though you can add  teaspoon for a more spiced chai']",https://www.vegrecipesofindia.com/wp-content/uploads/2011/12/masala-tea-powder-recipe.jpg
mawa cake eggless  whole wheat,https://www.vegrecipesofindia.com/eggless-mawa-cake-recipe/,"['cups all purpose flour or whole wheat flour or halfhalf of both', 'to  cup tightly packed crumbled mawa khoya or evaporated milk solids  about  to  grams of mawa khoya', 'cup whole milk', 'tablespoon cream  low fat  to  i added amul cream', 'teaspoon baking powder', 'teaspoon baking soda', 'to  grams unsalted white butter or unsalted yellow butter  at room temperature', 'cup fine granuled sugar or  cup powdered sugar', 'teaspoon cardamom powder or  to  green cardamoms crushed finely in a mortarpestle']","['Grease a  to  inches round pan with butter Dust some flour on it Shake and tap the pan so that the flour spreads evenly', 'You can also line the cake pan with butter paper or parchment paper', 'Preheat oven to  degrees celsius', 'Grease some butter on the butter paper or parchment paper', 'Crumble the mawa and keep aside You can also grate the mawa', 'Take butter and sugar in a bowl or pan', 'Cream butter and sugar till light and fluffy You can use a stand mixer food processor or an electric beater to cream the butter and sugar', 'Add the crumbled mawa and mix very well', 'Then add the flour sieved with baking soda and baking powder directly into the cake mixture', 'Sprinkle the cardamom powderpour the milk and cream', 'Fold everything till the flour milk and cream are incorporated well in the cake batter', 'Pour the cake batter in the prepared cake pan', 'Place the pan in the preheated oven at  degrees c and bake for  minutes to  hour till you the top is browned and a toothpick inserted in the cake comes out clean', 'If baking cupcakes then just bake for  to  minutes or till the tops are browned', 'Allow the cake to cool down', 'Slice the mawa cake and serve plain with tea or coffee']",https://www.vegrecipesofindia.com/wp-content/uploads/2014/06/mawa-cake.jpg
Spring Rolls  Chinese Vegetable Spring Rolls Vegan,https://www.vegrecipesofindia.com/spring-rolls-recipe-veg-spring-rolls/,"['tablespoon sesame oil or any oil', 'grams cabbage or about  to  cups shredded cabbage', 'grams carrot or  small carrots shredded or  cup shredded carrots', 'small to medium green bell pepper capsicum  thinly sliced or  cup thinly sliced green bell pepper', 'to  french beans sliced very thinly or  cup thinly sliced beans', 'to  cup small to medium spring onions scallions or  cup spring onions whites', 'teaspoon crushed black pepper or black pepper powder or add as per taste', 'tablespoon soy sauce', 'teaspoon finely chopped celery optional', 'cup cooked noodles or about  grams uncooked noodles optional', 'tablespoon bean sprouts optional', 'to  tablespoon chopped spring onion greens', 'salt as required', 'oil for deep frying', 'tablespoon all purpose flour or corn starch', 'to  tablespoon water or add as required to make a thick paste', 'to  spring roll wrappers']","['First cook  grams noodles as per package instructions Add the noodles in hot boiling water and cook them', 'Once the noodles should be cooked well then strain the noodles and rinse them thoroughly in water', 'Strain and keep aside', 'Chop the veggies in thin long strips For cabbage and carrot you can shred them Slice the green bell peppercapsicum in thin strips French beans you can slice them very thinly diagonally Chopping takes time so you can also use a food processor to chop the veggies', 'Please note you can use your choice of veggies', 'Now heat  tbsp sesame oil in a wok or kadai Keep the flame on medium intensity and add  cup spring onion whites', 'Stir and then add all the veggies', 'Increase the flame to high and stir fry the veggies for  to  minutes on a high flame', 'Then add  tsp crushed black pepper powder and  tsp finely chopped celery optional', 'Add  tbsp soy sauce Both black pepper and soy sauce can be adjusted as per your taste', 'Stir everything very well Then add the cooked noodles', 'Season with salt Add less salt as soy sauce already has salt Stir again very well The filling has to be dry', 'Switch off the flame and add the spring onion greens Stir and keep the filling aside Let it cool down', 'In a bowl mix  tbsp all purpose flour or corn starch and  to  tbsp water I used all purpose flour', 'Stir very well to make a thick paste without any lumps', 'Now take the spring roll wrapper If you are using the wrapper recipe which I have posted then keep the cooked side facing you Make sure that the wrappers are at room temperature before using them', 'Now with your fingertip apply the paste on the edges of the wrapper Then place  tbsp of the veggie stuffing on one side', 'Gently but tightly roll till the end', 'Seal the end part to the roll and place the roll with the sealed side downwards', 'Now spread some of the paste on the sides', 'Bring one side touching the roll and press gently', 'Do the same with the other side Again spread the batter on both the closed edges', 'Another method is to roll halfway Then spread the batter on the sides', 'Seal both the sides from sideways Spread some batter on the sealed edges', 'Then bring the open side on top of the spring roll Press gently and seal it', 'While working with the spring roll wrappers use light force from your hands otherwise they may break If there is any small tear then just spread some of the batter on it to close it', 'Now place all the spring rolls with the sealed edges facing down on a plate Your hands will become messy when stuffing the spring rolls', 'Heat oil at the deep frying temperature  to  degrees celsius', 'Gently slid a spring roll If the oil is not hot enough then they absorb oil and become soggy', 'Depending on the size of the pan or kadai you can fry  to  veg spring rolls at a time', 'Once they become light golden turn them over and fry the other side', 'Fry till they are crisp and golden The spring rolls get fried quickly', 'Remove them with a slotted spoon', 'Drain them on kitchen paper towels to remove excess oil', 'Garnish with some chopped spring onion greens and serve veg spring rolls hot with red chili sauce or tomato ketchup']",https://www.vegrecipesofindia.com/wp-content/uploads/2015/10/spring-rolls-recipe.jpg
tawa pulao,https://www.vegrecipesofindia.com/tawa-pulao-recipe-pulao-recipes/,"['cup basmati rice or long grained rice', 'cups of water for cooking the rice', 'to  drops of oil', 'salt as required', 'medium green bell pepper capsicum  chopped', 'large tomatoes or  grams tomatoes  chopped', 'medium onion or  grams onions chopped', 'inch ginger   garlic  made into a paste in a mortarpestle or  teaspoon ginger garlic paste', 'teaspoon red chili powder or add as required', 'teaspoon turmeric powder', 'teaspoon Pav Bhaji Masala or add as required', 'teaspoon cumin seeds', 'tablespoon butter or oil or halfhalf of both', 'small to medium carrot  chopped', 'medium potato  chopped', 'cup green peas  fresh or frozen', 'teaspoon lemon juice or as required', 'a few chopped coriander leaves cilantro leaves or parsley leaves', 'salt as required']","['Rinse the rice grains till the water runs clear of starch Rinsing for a while you will come to a stage when the water will become transparent during the rinse If there is starch in the water then the rice becomes sticky', 'Soak the rice in enough water for  minutes Drain and then add the rice to a pot', 'Pour  cups of water in the rice Add salt and few drops of oil', 'Stir Cover and cook the rice till the rice grains are cooked well', 'The rice grains should be separate also cooked well', 'If the water begins to froth pushing the lid then remove the lid or partly cover the pot with lid and cook the rice', 'Dont cook the rice too much or make them mushy This will spoil the texture of the pulao', 'In a strainer add the cooked rice and let all the water drain away', 'Gently fluff the rice with a fork', 'Once all the steam has passed from the rice cover the rice with a lid so that the rice grains on top dont dry out', 'Let the rice cool and you can proceed with the rest of the recipe', 'Steam the carrot potato and green peas till all of them are cooked well in a steamer pan or pressure cooker', 'Peel and chop the carrot and potatoes Keep aside', 'In a pan or kadaiwok melt the butter Add the cumin and fry them till they get browned', 'Add the finely chopped onions and saute till translucent', 'Add the ginger garlic paste and saute till the raw aroma goes away', 'Then add the finely chopped tomatoes and bell pepper capsicum', 'Stir and add all the spice powders  turmeric red chili powder and pav bhaji masala', 'Stir again and saute the whole mixture till you see butter releasing from the sides', 'Add the chopped potato carrot and peas Sprinkle salt and stir', 'Add the cooked basmati rice and gently mix the veggies with the rice', 'Garnish with coriander leaves and sprinkle some lemon juice on the tava pulao', 'Serve tava pulao hot with onion tomato raita or cucumber raita or plain yogurt accompanied with papad and pickle']",https://www.vegrecipesofindia.com/wp-content/uploads/2014/05/tawa-pulao-recipe.jpg
paneer pasanda restaurant style,https://www.vegrecipesofindia.com/paneer-pasanda-recipe-restaurant-style/,"['grams Paneer cottage cheese', 'to  tablespoon crumbled or grated paneer can substitute grated cheese instead of paneer', 'tablespoon raisins  chopped', 'to  cashews  finely chopped or  tablespoon finely chopped cashews', 'or  green chilies chopped or about  teaspoon chopped green chilies', 'tablespoon chopped coriander leaves cilantro leaves', 'tablespoon chopped mint leaves', 'teaspoon red chili powder', 'teaspoon cumin powder', 'teaspoon salt or add as required', 'tablespoon oil for frying', 'cup corn starch', 'tablespoon water', 'medium to large onions or  grams onions or  cup heaped chopped onions', 'tablespoon oil', 'to  tablespoon water to grind the fried onions add more if required', 'medium to large tomatoes or  grams tomatoes or  cups roughly chopped tomatoes', 'to  cashews  halved or roughly chopped', 'inch cinnamon dalchini', 'green cardamoms', 'single thin strands of mace', 'cloves', 'cup water for cooking tomatoes', 'to  tablespoon of the fried oil or fresh oil', 'teaspoon caraway seeds shahjeera  substitute cumin jeera if shahjeera is not there', 'tej patta indian bay leaf', 'inch ginger   to  garlic  crushed to a paste in mortarpestle or  to  teaspoon ginger garlic paste adrak lahsun ka paste', 'teaspoon turmeric powder', 'teaspoon kashmiri red chili powder or deghi mirch', 'teaspoon coriander powder ground coriander', 'teaspoon garam masala', 'to  teaspoon sugar or as per taste', 'teaspoon crushed kasuri methi dry fenugreek leaves', 'cup water', 'tablespoon low fat cream  to  fat', 'tablespoon chopped coriander leaves for garnish cilantro leaves', 'salt as required']","['In a frying pan or kadai take  cups roughly chopped tomatoes  to  cashews halved or roughly chopped  inch cinnamon  green cardamoms  single thin strands of mace  cloves and  cup water', 'On a low to medium flame stir and simmer this mixture till the tomatoes soften', 'When the tomatoes soften switch off the flame Some stock will be left in the pan and we will use it while grinding the tomatoes Let this mixture become warm or cool down completely before you grind', 'Add the cooked tomatoescashewsspices mixture along with the stock No need to add any extra water while grinding', 'Grind to a smooth paste There should be no cashew chunks or pieces in the paste Keep this paste aside', 'Meanwhile heat  tbsp oil in a pan and add  cup heaped chopped onions', 'Stir and saute the onions on a low flame Add a pinch of salt for the onions to brown faster', 'Once the onions turn to light golden switch off the flame Let the onions cool', 'Now in a grinder jar take the fried onions Add  to  tbsp water', 'Then grind the fried onions to a smooth paste Keep this paste aside', 'In a bowl or plate take  to  tbsp crumbled or grated paneer can substitute grated cheese instead of paneer  tbsp raisins chopped  to  cashews finely chopped or  tbsp finely chopped cashews  or  green chilies chopped about  tsp chopped green chilies  tbsp chopped coriander leaves and  tbsp chopped mint leaves', 'Now add  tsp red chili powder  tsp cumin powder and  tsp salt or add as required', 'Mix everything and keep aside', 'Slice the paneer in triangles Now slice each triangle into two halves gently', 'Slice all triangles this way', 'Now place some of the stuffing on the paneer triangle', 'Cover it with its top slice gently Dont press One paneer sandwich is ready', 'Make all paneer sandwiches stuffed with the filling this way', 'In a bowl make a paste of  cup corn starch with  tbsp water', 'Dip the paneer sandwich slice in the batter', 'Turn over and coat from all sides You can also use a spoon or small tongs to coat the slices', 'Place the paneer slices in a medium hot oil for shallow frying', 'Dip eacn triangle this way and then place more paneer triangles in the hot oil Do stir the corn starch paste before you coat the paneer triangles with it as the corn starch settles down', 'When the base is golden turn over and continue to shallow fry You can also deep fry these paneer triangles', 'Now drain the fried paneer sandwiches on paper towels Keep aside', 'In the same pan in which we cooked the tomatoes add oil Add  tej patta and  tsp shahjeera Saute till the shahjeera crackles Substitute cuminjeera if shahjeera is not there', 'Add  to  tsp ginger garlic paste', 'Stir and saute till raw aroma of gingergarlic goes away', 'Now add the tomatocashewspice paste Stir and saute for  to  minutes on a low to medium flame', 'Stir and then add the fried onion paste Stir very well and saute for  to  minutes', 'Add  tsp turmeric powder  tsp coriander powder and  tsp kashmiri red chili powder or deghi mirch Stir very well', 'Then add  cup water Stir again very well', 'Simmer paneer pasanda gravy on a low flame', 'If the gravy splutters a lot then cover the pan with a lid', 'Simmer or saute the paneer pasanda gravy till you see some oil specks on the top The gravy will also thicken About  to  minutes on a low to medium flame', 'Then add salt as required', 'Add  to  tsp sugar as required', 'Stir and then add  tsp garam masala  tsp kasuri methi crushed and  tbsp low fat cream', 'Stir till the cream is mixed evenly with the rest of thepaneer pasanda gravy', 'Now you can place the paneer triangles or pasanda in the gravy Or else you can place them in a serving tray or plate and pour the gravy from top as shown in the final pics below', 'Coat the paneer pasanda in the gravy', 'Serve paneer pasanda hot garnished with some coriander leaves Best accompaniments with paneer pasanda are naan tandoori roti chapati lachcha paratha malabar paratha and jeera rice or veg pulao']",https://www.vegrecipesofindia.com/wp-content/uploads/2015/03/paneer-pasanda-recipe.jpg
